MF1	MF2	Mean RMSD	Mean alignment length	Participating instances from MF1	Participating instances from MF2	Edge label
KT	SR	1.46	10.0	4 / 64 (6.25%)	5 / 74 (6.76%)	1.46, 10.0, 6.2%	Below 20.0% threshold
KT	EL	1.26	10.12	2 / 64 (3.12%)	7 / 49 (14.29%)	1.26, 10.12, 3.1%	Below 20.0% threshold
CL	EL	1.37	9.75	7 / 44 (15.91%)	21 / 49 (42.86%)	1.37, 9.75, 15.9%	Below 20.0% threshold
CL	HT	1.3	8.38	8 / 44 (18.18%)	14 / 34 (41.18%)	1.3, 8.38, 18.2%	Below 20.0% threshold
CL	TR	1.42	6.56	14 / 44 (31.82%)	14 / 19 (73.68%)	1.42, 6.56, 31.8%
CL	TS	1.26	7.67	8 / 44 (18.18%)	22 / 45 (48.89%)	1.26, 7.67, 18.2%	Below 20.0% threshold
EL	HT	1.33	9.55	42 / 49 (85.71%)	25 / 34 (73.53%)	1.33, 9.55, 73.5%
EL	TS	1.3	9.0	31 / 49 (63.27%)	10 / 45 (22.22%)	1.3, 9.0, 22.2%
HT	TR	1.41	7.38	13 / 34 (38.24%)	7 / 19 (36.84%)	1.41, 7.38, 36.8%
HT	TS	1.3	7.88	17 / 34 (50.0%)	43 / 45 (95.56%)	1.3, 7.88, 50.0%
TR	TS	1.4	7.25	4 / 19 (21.05%)	5 / 45 (11.11%)	1.4, 7.25, 11.1%	Below 20.0% threshold
